0,1,11,0,646,0,0,0,0,
132,1,1,1,x,1,1,1,o,
x,1,o,1,x,22,1,11,o,
x,o,o,22,x,x,1,1,o,
o,1,52,1,x,1,1,0,11,
o,o,1,1,x,1,0,x,1,
1,o,50,1,x,1,52,0,1,
11,o,1,1,x,11,x,1,o,
x,o,1,1,x,o,x,11,o,
x,o,11,o,x,o,x,x,o,
1,1,60,o,x,1,11,1,1,
o,1,11,o,x,1,x,1,1,
o,1,x,1,x,1,o,1,2,
o,1,x,2,x,o,o,1,x,
o,o,x,x,x,o,o,2,x,
21,1,x,o,x,1,o,1,10,
1,11,x,o,x,o,o,1,x,
11,x,x,o,x,o,o,o,x,
o,1,1,x,1,1,2,1,1,
o,1,o,x,1,1,x,1,2,
o,2,o,x,1,o,x,1,x,
o,x,o,x,2,o,x,o,x,
60,1,1,1,x,1,1,o,1,
x,1,o,1,x,31,1,o,1,
x,1,o,o,x,x,11,o,1,
x,o,o,o,x,x,x,o,11,
x,1,1,1,x,1,o,31,o,
x,o,1,21,x,1,o,x,o,
x,o,o,x,x,31,o,x,o,
21,1,o,11,x,1,0,0,71,
1,o,o,0,x,11,x,2,1,
1,o,o,x,x,1,x,0,o,
o,1,o,1,x,1,1,11,x,
o,1,o,o,x,1,11,x,x,
o,1,x,o,x,11,1,1,1,
o,1,x,o,x,x,11,o,1,
x,1,1,1,x,o,1,o,11,
1,1,0,40,x,1,o,30,1,
1,0,x,1,x,1,o,1,o,
o,o,x,1,x,31,1,0,11,
o,o,x,o,x,1,11,1,x,
x,o,11,1,x,1,1,o,1,
x,o,x,11,x,o,1,o,1,
x,o,x,x,x,o,o,o,11,
o,1,o,1,x,1,0,x,1,
o,1,o,0,x,o,x,x,1,
1,1,1,1,x,11,o,x,o,
1,11,o,1,x,x,o,x,o,
o,o,x,11,x,x,1,o,1,
x,o,12,1,x,1,1,2,o,
x,o,11,o,x,2,1,x,o,
x,o,o,o,x,x,13,x,o,
1,o,x,o,x,11,41,1,1,
1,o,o,1,x,0,1,x,1,
x,o,o,1,x,x,1,o,21,
x,1,1,10,x,1,1,o,o,
x,1,11,x,x,o,1,o,o,
x,o,x,x,x,o,21,o,o,
31,1,o,1,x,1,o,1,x,
1,x,1,0,1,1,o,11,1,
1,x,1,x,1,0,o,o,1,
1,x,0,x,o,x,o,o,1,
21,o,o,1,x,1,1,1,x,
0,11,1,x,x,o,o,1,1,
11,x,o,x,x,o,o,1,1,
x,x,o,x,x,o,o,o,11,
x,11,x,o,x,o,o,1,1,
x,1,0,o,x,1,1,11,o,
x,21,x,o,x,0,o,1,o,
1,o,0,1,1,1,1,1,x,
1,o,x,1,o,1,1,0,x,
0,o,x,1,o,o,1,x,x,
1,o,21,x,x,1,o,1,1,
1,o,x,x,x,11,o,1,o,
1,1,20,1,x,o,31,1,1,
11,o,x,1,x,o,41,1,1,
o,1,x,11,x,o,1,1,1,
o,11,x,x,x,o,1,1,o,
o,x,x,x,x,o,o,11,o,
x,o,x,o,x,1,1,2,o,
x,o,x,o,x,2,o,x,o,
x,1,41,1,x,o,1,1,o,
x,o,x,11,x,o,11,1,o,
x,1,1,1,x,0,o,o,21,
1,1,1,0,1,1,x,o,1,
1,o,1,x,0,1,x,o,1,
o,o,1,x,x,1,x,o,0,
1,x,1,1,11,1,o,x,o,
1,o,x,1,1,1,1,11,1,
1,o,x,1,1,o,11,x,1,
o,o,x,11,1,o,x,x,1,
o,o,x,x,11,o,x,x,o,
o,o,x,1,x,0,o,x,1,
1,1,1,1,x,o,x,o,11,
1,1,11,o,x,o,x,o,x,
1,1,o,1,x,11,o,x,1,
o,1,o,11,x,x,o,x,1,
22,1,o,o,x,1,1,1,x,
x,11,o,1,x,1,o,x,o,
x,o,o,1,x,1,1,11,1,
x,o,o,1,x,o,1,x,11,
o,o,1,1,x,1,x,11,1,
o,o,1,11,x,1,x,x,o,
o,o,11,x,x,o,x,x,o,
x,0,1,x,x,o,o,o,1,
o,o,x,o,x,x,1,1,11,
11,1,1,1,1,1,1,o,x,
x,1,1,1,o,1,11,o,x,
x,1,1,11,o,o,x,o,x,
o,1,1,1,1,x,0,1,1,
o,1,0,1,1,x,x,1,o,
0,1,x,1,x,o,o,1,1,
x,1,x,0,x,o,o,1,o,
x,21,x,1,x,o,1,o,o,
x,1,12,1,o,1,1,1,1,
x,1,x,1,o,11,o,1,1,
x,11,x,o,o,x,o,1,1,
x,1,o,o,x,x,1,2,o,
1,1,1,11,1,1,x,1,o,
11,1,1,x,1,1,x,o,o,
x,1,1,o,1,1,1,1,21,
x,1,o,o,1,11,1,1,x,
x,o,o,o,1,x,1,11,x,
x,o,o,o,11,x,o,x,x,
o,o,x,11,x,x,o,1,1,
x,0,o,x,x,1,1,o,o,
1,o,1,1,x,1,o,x,11,
11,o,1,o,x,1,o,x,x,
1,1,o,x,x,1,o,11,1,
o,11,o,x,x,1,o,x,1,
1,1,o,11,x,o,1,1,x,
1,o,o,x,x,o,11,1,x,
31,o,o,x,x,o,x,o,x,
1,1,1,1,1,o,x,10,1,
1,11,1,1,o,o,x,x,1,
1,x,o,1,o,o,x,x,11,
1,x,1,0,1,o,1,1,1,
1,x,o,x,1,o,1,0,1,
x,11,x,o,x,o,1,1,o,
1,1,1,o,x,o,x,1,11,
o,1,1,o,x,o,x,11,x,
o,1,1,1,x,1,o,x,0,
o,1,o,1,x,0,o,x,x,
x,o,x,o,x,o,11,x,o,
1,o,o,1,x,2,x,x,o,
2,o,o,o,x,x,x,x,o,
x,11,1,o,x,1,o,x,o,
1,o,1,11,x,1,x,o,1,
1,o,o,x,x,1,x,o,11,
x,o,1,o,11,1,1,1,x,
1,1,1,11,1,x,1,o,1,
1,1,o,x,11,x,1,o,1,
1,o,1,o,x,1,x,1,11,
1,o,o,o,x,1,x,11,x,
1,o,x,1,x,1,11,o,1,
1,1,o,x,x,o,1,1,11,
o,1,o,x,x,o,1,11,x,
o,11,o,x,x,o,o,x,x,
1,1,o,1,11,1,x,1,1,
1,o,o,11,x,x,x,o,1,
1,1,1,0,1,o,x,x,o,
o,1,1,x,0,o,x,x,o,
x,11,1,o,x,1,1,o,1,
x,x,1,o,x,1,o,o,11,
o,o,x,x,x,11,o,1,1,
1,o,o,11,x,x,x,1,o,
o,1,x,1,x,1,1,o,11,
o,1,x,o,x,11,1,o,x,
x,o,x,1,o,1,1,1,2,
x,o,x,2,o,1,o,1,x,
x,o,x,x,o,o,o,2,x,
o,o,x,1,x,x,11,1,o,
1,o,11,1,x,o,x,1,1,
